Code;Art;Kriterium;Hauptgruppe;Gruppe;Gewichtung;Gewicht Gruppe;Gewicht Hauptgruppe;Prozent
A.1.1.1;Ausschluss;Eine Internetbasierte Bestellabwicklung (Webshop) ist verfügbar;1. Service;1.1 Web-Shop;;;;
A.1.1.2;Ausschluss;Die Zugriffe auf den Web-Shop erfolgen SSL-verschlüsselt;1. Service;1.1 Web-Shop;;;;
A.1.1.3;Ausschluss;Der Webshop kann über das Open Catalog Interface (OCI) an das E-Procurementsystem der hessischen Hochschulen (Wallmedien WPS/SAP SRM) für den direkten Zugriff (Punch-out) gemäß Anlage 6 angebunden werden.;1. Service;1.1 Web-Shop;;;;
B.1.1.4;Bewertung;Das Warenangebot kann in einer nach BMECat 1.2 formatierten XML-Datei inkl. eCl@ss 5.1.4 übermittelt und min. täglich aktualisiert werden.;1. Service;1.1 Web-Shop;50,0;;;
A.1.1.5;Ausschluss;Der Web-Shop ist ausschließlich bestückt mit den vereinbarten Produkten dieses Vertrages;1. Service;1.1 Web-Shop;;;;
A.1.1.6;Ausschluss;Hinterlegung von Systemen mit von der Hochschule festgelegten Standardkonfigurationen im Web-Shop;1. Service;1.1 Web-Shop;;;;
A.1.1.7;Ausschluss;Änderung der Systemkonfiguration durch den Besteller durch Auswahl vereinbarter, alternativer Komponenten (z.B. andere CPU) oder zusätzlicher Komponenten (z.B. alternative SSD/Festplatte);1. Service;1.1 Web-Shop;;;;
A.1.1.8;Ausschluss;Alle Systeme und alternative oder zusätzliche Komponenten müssen mit dem vereinbarten, bereits rabattierten Nettopreis ausgezeichnet sein;1. Service;1.1 Web-Shop;;;;
A.1.1.9;Ausschluss;Reporting gegenüber der bestellenden Hochschule über die von ihr erteilten Aufträge gegliedert nach Systemgruppen (Desktop Computer, Notebooks, Monitore), Form des Reportings online (Web-Oberfläche) oder per Zusendung halbjährlicher Reports;1. Service;1.1 Web-Shop;;;;
A.1.2.1;Ausschluss;Anlieferung Frei Verwendungsstelle;1. Service;1.2 Lieferung;;;;
A.1.2.2;Ausschluss;Lieferstatusverfolgung über ein Hersteller- oder Partner-Webportal, über das der gesamte Verlauf eines Einzelauftrags vom Bestelleingang bis zur Auslieferung am Verwendungsort des Auftraggebers abgebildet ist und in dem sämtliche Informationen stets aktuell bereitgestellt werden.;1. Service;1.2 Lieferung;;;;
A.1.2.3;Ausschluss;Lieferzeit: innerhalb von 10 Werktagen nach Eingang der Einzelbestellung;1. Service;1.2 Lieferung;;;;
A.1.2.4;Ausschluss;Optional: Direktlieferung zum Arbeitsplatz: Der Gerätehersteller liefert PCs, Notebooks, Monitore und Dockingstations direkt zum individuellen Arbeitsplatz, bis zur Bürotür (nicht nur zur Empfangsstelle), des Nutzers in der Hochschule .;1. Service;1.2 Lieferung;;;;
A.1.3.1;Ausschluss;Sachmängelhaftung gemäß EVB-IT Kauf;1. Service;1.3 Systemservice;;;;
A.1.3.2;Ausschluss;Hardware-Instandhaltungsservice für 36 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.3;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 12 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.4;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 24 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.5;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 48 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
A.1.3.6;Ausschluss;Alternativ: Hardware-Instandhaltungsservice für 60 Monate gemäß Rahmenvertrag;1. Service;1.3 Systemservice;;;;
B.1.3.7;Bewertung;Qualität der Ersatzteile für den jeweiligen Servicezeitraum;1. Service;1.3 Systemservice;100,0;;;
A.1.3.8;Ausschluss;Alternativ: Ersatzteillieferung ohne Austausch durch einen Servicetechniker;1. Service;1.3 Systemservice;;;;
A.1.3.9;Ausschluss;Vor-Ort-Service für A.1.3.2 - A.1.3.6 gemäß Rahmenvertrag Ziffer 5.4;1. Service;1.3 Systemservice;;;;
A.1.3.10;Ausschluss;Alternativ zu A.1.3.9:  Entfall des Vor-Ort-Service, statt dessen Reparaturservice gemäß Rahmenvertrag Ziffer 5.5 (Abhol- und Reparaturservice oder Bring-In Service).;1. Service;1.3 Systemservice;;;;
A.1.3.11;Ausschluss;Störungsannahme per Telefon?;1. Service;1.3 Systemservice;;;;
A.1.3.12;Ausschluss;Hotline deutschsprachig?;1. Service;1.3 Systemservice;;;;
A.1.3.13;Ausschluss;Kosten für die Hotline nicht mehr als 0,14 Euro pro Minute aus dem deutschen Festnetz;1. Service;1.3 Systemservice;;;;
A.1.3.14;Ausschluss;Störungsannahme per E-Mail;1. Service;1.3 Systemservice;;;;
A.1.3.15;Ausschluss;E-Mail Korrespondenz deutschsprachig?;1. Service;1.3 Systemservice;;;;
A.1.3.16;Ausschluss;Störungsannahme über Support-Webseite;1. Service;1.3 Systemservice;;;;
A.1.3.17;Ausschluss;Störungsannahme und - bearbeitung mindestens Mo-Fr an Werktagen von 8:00 - 17:00 Uhr unabhängig, ob über Telefon, E-Mail oder Support-Webseite eingegangen;1. Service;1.3 Systemservice;;;;
A.1.3.18;Ausschluss;Störungsannahme und vollständige Bearbeitung inklusive Steuerung von Vor-Ort Einsätzen entweder direkt durch den Rahmenvertragspartner oder einen einzigen Erfüllungsgehilfen (z.B. Hersteller), d.h.  kein mehrstufiges Verfahren wie z.B. Vorprüfung durch den Rahmenvertragspartner und  Weiterleitung an einen Erfüllungsgehilfen zur weiteren Bearbeitung.;1. Service;1.3 Systemservice;300,0;;;
B.1.4.1;Bewertung;Optional: Der Gerätehersteller stellt eine API-Schnittstelle u. a. für Gerätegarantieabfragen zur Verfügung und ermöglicht die einfache, zentrale Beantragung der API-Schlüssel zum Einbinden in ein ITSM-System.;1. Service;1.4 Zusätzliche Leistungen;30,0;;;
B.1.4.2;Bewertung;Optional: Der Gerätehersteller bietet ein Self-Maintainer-Programm für das Zusenden von CRU (Customer Self Replaceable Units), also vom Anbieter zu tauschenden Ersatzteilen, an.;1. Service;1.4 Zusätzliche Leistungen;30,0;;;
B.1.4.3;Bewertung;Optional: Der Gerätehersteller stellt ein konsolidiertes, webbasiertes, zentrales Lifecycle-Portal zur durchgängigen Verwaltung des Gerätelebenszyklus (Planung, Vorkonfiguration, Deployment, Betrieb/Support, Retire) zur Verfügung. Es ermöglicht die strukturierte Erfassung und Übertragung von Konfigurationsdaten (z. B. BIOS/UEFI, Asset-Tags, Image-Services) sowie die Ticketbearbeitung. Der Betrieb ;1. Service;1.4 Zusätzliche Leistungen;30,0;;;
B.1.4.4;Bewertung;Optional: Sofern intelligente Dockinglösungen bzw. verwaltbares Zubehör angeboten werden, soll der Gerätehersteller ein zentrales Management über eine webbasierte Administrationsoberfläche ermöglichen. Die Lösung soll insbesondere die zentrale Inventarisierung, Statusüberwachung, Konfigurationsverwaltung und Firmwareverwaltung sowie eine vereinfachte Administration des angeschlossenen Zubehörs unt;1. Service;1.4 Zusätzliche Leistungen;30,0;;;
B.1.4.5;Bewertung;Optional: Der Hersteller bietet auf Wunsch des Auftraggebers eine projektbezogene Lagerbevorratung der Hardware in Deutschland an. Die Kosten für diese Lagerung sind vollständig im angebotenen Hardwarepreis einkalkuliert und werden nicht gesondert berechnet.);1. Service;1.4 Zusätzliche Leistungen;30,0;;;
A.1.4.6;Ausschluss;Optional: Werksseitige Installation von plattformübergreifenden Images sowie Anpassung der BIOS/UEFI-Konfiguration. Die Konfiguration erfolgt nach Vorgabe des Auftraggebers.  Der Gerätehersteller stellt ein entsprechendes Tool zur Erstellung, Bereitstellung und Aktualisierung des Images und der Einstellungen zur Verfügung.;1. Service;1.4 Zusätzliche Leistungen;;;;
A.1.4.7;Ausschluss;Optional: Möglichkeit der Aktualisierung des Images durch den Auftraggeber jederzeit auf Anforderung;1. Service;1.4 Zusätzliche Leistungen;;;;
A.1.4.8;Ausschluss;Optional: Mehrere Images pro System möglich;1. Service;1.4 Zusätzliche Leistungen;;;;
A.1.4.9;Ausschluss;"Optional: Automatisierte Übermittlung von Asset-Daten (PCs und Notebooks) vom Geräthersteller  zum Endkunden per E-Mail nach Abschluss des Fertigungsprozesses. (Bestellnummer, Seriennummer, Mac-Adresse(n), Modelbezeichnung)
Die Asset-Daten müssen in einem standardisierten Format (z. B. .CSV, .XML) bereitgestellt werden";1. Service;1.4 Zusätzliche Leistungen;;;;
A.1.1.1;Ausschluss;"x86-Technologie (64 Bit) AMD / Intel Prozessor, Mindestleistung ≥ 1750 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung.

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messprotokolls mit dem";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.1.2;Ausschluss;"Alternativ: x86-Technologie (64 Bit) AMD / Intel Prozessor,  Mindestleistung ≥ 1800 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung.

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messproto";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.2.1;Ausschluss;16 GB RAM DDR5 oder höher;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.2.2;Ausschluss;Alternativ: 32 GB RAM DDR5 erhältlich;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
